index,cn_query,lat,lon,created_at,need_type
45,"How can I volunteer for the Hurricane Harvey relief meet in Hurst, Texas, on August 29th?",29.768745457099985,-95.30330062,Tue Aug 29 21:53:00 +0000 2017,resource_coordination
46,"How do I register for FEMA assistance at the convention center in Houston, Texas?",29.76037309279985,-95.36978504,Thu Aug 31 20:38:38 +0000 2017,logistics
47,How can I support relief efforts in Texas and Houston?,29.736620563858672,-95.44745344,Thu Aug 31 20:38:31 +0000 2017,resource_coordination
48,What is the current capacity of the George R. Brown Convention Center in Port Lavaca?,28.60771517729104,-96.64089977,Tue Aug 29 18:44:24 +0000 2017,shelter
49,"How can I donate to flood relief efforts in Harris County, Texas, without supporting administrative costs?",29.78386122449507,-95.32298344,Wed Aug 30 10:45:22 +0000 2017,resource_coordination
50,What is the current damage assessment status in the Corpus Christi Port area?,27.805747798933265,-97.40169206,Wed Aug 30 06:59:17 +0000 2017,logistics
51,"How can I help rescue animals in Dayton, Ohio, affected by the flooding?",30.046642082169857,-94.88803826,Fri Sep 01 22:25:39 +0000 2017,resource_coordination
52,"Are there any emergency response teams available in Victoria, Texas, and Corpus Christi?",28.78962449860742,-97.00462891,Tue Aug 29 21:57:59 +0000 2017,resource_coordination
53,How can I donate to support the Texas Food Bank Network and Texas Diaper Bank?,28.806154449530588,-97.0040466,Fri Sep 01 06:06:18 +0000 2017,resource_coordination
54,Where can I find information on pet relocation efforts from Texas to New Jersey?,29.162295674641346,-95.43988367,Wed Aug 30 13:22:57 +0000 2017,transportation
55,Where can I donate to Hurricane Harvey recovery tonight in the City Hall Courtyard?,29.75989809,-95.36904215,Thu Aug 31 20:35:16 +0000 2017,resource_coordination
56,"Where can I find water rescue services in Missouri City, Texas?",29.63156895446928,-95.52667187,Tue Aug 29 18:16:35 +0000 2017,resource_coordination
57,"Is there a voluntary evacuation in place for Inverness Forest, north of Houston?",29.76379534146817,-95.37923331,Wed Aug 30 00:25:10 +0000 2017,transportation
58,Where is the Hurricane Harvey mega shelter located in Austin?,30.25969780177198,-97.73395139,Fri Sep 01 10:49:04 +0000 2017,shelter
59,Are there any recovery centers or services available in Aransas County for damage assessment and support?,28.61509881524897,-96.62183164,Sat Aug 26 13:59:17 +0000 2017,logistics
60,"How can I volunteer to help with pet rescue in College Station, Texas?",30.63095129898233,-96.32949883,Tue Aug 29 22:09:32 +0000 2017,resource_coordination
61,"Where can I drop off donations in Austin, Texas, for Hurricane Harvey evacuees?",30.25957856033722,-97.72762794,Tue Aug 29 20:47:22 +0000 2017,logistics
62,Is the Rainbow Bridge closed due to high water?,29.885218615619507,-93.93992979,Tue Aug 29 20:50:01 +0000 2017,transportation
63,"Where can I find kosher food assistance in Brazoria, Texas, after the hurricane?",29.181461367699665,-95.43555021,Tue Aug 29 22:41:47 +0000 2017,food_water
64,Where can I find evacuation instructions and information in Cypress?,29.977967569655924,-95.70789557,Tue Aug 29 21:04:33 +0000 2017,transportation
65,"Where can I find rescue services in Channelview, Texas, ASAP?",29.77534295271885,-95.1225012,Wed Aug 30 10:59:19 +0000 2017,resource_coordination
66,What are the locations of open shelters for evacuees from Hurricane Harvey in Central Texas?,27.847316654948827,-97.06714995,Fri Aug 25 23:49:37 +0000 2017,shelter
67,Where can I transport donated items to support shelters in Austin?,30.265941242987413,-97.74506242,Fri Sep 01 18:58:33 +0000 2017,logistics
68,Are there any local shelters where I can volunteer with children?,29.75830886616533,-95.36326145,Wed Aug 30 12:35:05 +0000 2017,resource_coordination
69,Are there any available campgrounds or RV parks in the Sour Lake area for Harvey evacuees?,30.15549637636136,-94.39763884,Tue Aug 29 23:07:54 +0000 2017,shelter
70,What is the address of the shelter for Harvey evacuees in College Station?,30.63290343238869,-96.34096359,Tue Aug 29 18:22:31 +0000 2017,shelter
71,How can I donate to food banks in the Cypress area?,29.979657718421016,-95.7057923,Tue Aug 29 20:50:18 +0000 2017,resource_coordination
72,Where can I find information on the latest rescue efforts in the Cypress Creek area?,29.747343165935494,-95.38317021,Fri Sep 01 00:30:39 +0000 2017,resource_coordination
73,How can I donate to the local shelter in Austin taking in animals affected by the floods?,30.26547494,-97.74593148,Tue Aug 29 18:34:57 +0000 2017,resource_coordination
74,"Where is the mega-shelter for Harvey evacuees located in Orange, Texas?",30.085231076125407,-93.73324971,Tue Aug 29 21:09:52 +0000 2017,shelter
75,How can I get my well water tested in Houston or surrounding counties?,29.76275596677857,-95.3701366,Fri Sep 01 23:35:04 +0000 2017,logistics
76,Where can I find alternative shelter in Port Arthur after the shelter flooded?,29.87771106637637,-93.94815276,Wed Aug 30 12:54:34 +0000 2017,shelter
77,"How do I report residential debris and damage in Cypress, Harris County?",29.971310589227425,-95.69873747,Fri Sep 01 01:15:36 +0000 2017,logistics
78,"Where can I find information about the mandatory evacuation order in Orange, Texas?",30.092419509313885,-93.73715499,Thu Aug 31 21:26:43 +0000 2017,transportation
79,How can I donate to the Red Cross to assist rescue efforts in Texas?,29.76209295053441,-95.37052725,Sun Aug 27 14:45:56 +0000 2017,resource_coordination
80,"If I know of animals in need or left behind in Channelview, Texas, where can I report them?",29.77124808262309,-95.1143199,Thu Aug 31 00:13:04 +0000 2017,logistics
81,How can I volunteer at a shelter in Houston tonight?,29.76495263892439,-95.35607425,Tue Aug 29 18:12:15 +0000 2017,resource_coordination
82,"Where are nonprofits with special offers for Harvey evacuees in Abilene, Texas?",29.913057826545973,-95.04792142,Fri Sep 01 17:46:40 +0000 2017,shelter
83,"When can I expect power to be restored in Aransas County, Texas?",28.086623322014884,-96.99230327,Tue Aug 29 22:07:47 +0000 2017,logistics
84,"Where can I find help for stranded people in Houston, Texas?",29.76097011,-95.37253263,Tue Aug 29 20:46:20 +0000 2017,resource_coordination
85,Where are the mega-shelters and other shelters in Dallas for Harvey evacuees?,32.77759446330288,-96.79129759,Tue Aug 29 22:06:59 +0000 2017,shelter
86,"How can I help rescue people trapped in collapsed buildings in Rockport, Texas?",28.015601717922088,-97.06940013,Sat Aug 26 05:10:05 +0000 2017,resource_coordination
87,"Where can I find search and rescue operations in Houston, Texas?",29.753270941689724,-95.3822719,Tue Aug 29 21:35:56 +0000 2017,resource_coordination
88,How can I volunteer at food banks in Corpus Christi?,27.80100471699077,-97.39669198,Wed Aug 30 00:20:56 +0000 2017,resource_coordination
89,How can I donate to support Refugee Services of Texas in Houston?,29.619697254891733,-95.63461481,Tue Aug 29 20:50:00 +0000 2017,resource_coordination
90,"How can I get power restored in the ERCOT region, including Houston?",29.75738395558753,-95.38882097,Sun Aug 27 12:48:20 +0000 2017,logistics
91,What evacuation routes and shelters are available for Harris County residents?,29.763920355891337,-95.30836358,Tue Aug 29 18:34:01 +0000 2017,transportation
92,"How can I get food and water assistance in Brazoria, Texas, after Hurricane Harvey?",29.17911321427764,-95.42249951,Thu Aug 31 22:14:27 +0000 2017,food_water
93,Where can I find shelter in Galveston County after being displaced from my home?,27.831547949090087,-97.06530164,Wed Aug 30 15:29:18 +0000 2017,shelter
