index,tweet,created_at,place,lat,lon,humAID_class
24,"""@realDonaldTrump My hometown is near the Camp Fire in Butte County, California. Many are frantically searching for missing loved ones. A town is destroyed, and THIS is what you have to say? This while brave heroes risk their lives to save people and pets! Our President has zero humanity. Zero! Sat Nov 8-10, 2018 (Camp Fire erupted on Nov 8th and ravaged the area by the time this tweet was posted)""",Sat Nov 10 14:22:55 +0000 2018,Silver Dollar Fairgrounds (Chico),39.7190192,-121.8172485,infrastructure_and_utility_damage
25,"""RT @KMcMays: Death toll 56 as of November 15, 2018 17:13 UTC; WILL RISE! #SoCalFires #CampFire, possibly referring to the Woolsey Fire in Ventura County.""",Thu Nov 15 17:13:35 +0000 2018,Ventura,34.44581324,-119.0780256,injured_or_dead_people
26,"""At least nine people are dead, tens of thousands more are out of their homes which will likely burn to the ground, 90k+ acres of land is charred and the thousands of homes that stood there are piles of rubble. Yet, the POTUS highlights forest management policy? Incredible. As of November 10th, 2018, at approximately 2:56 PM PST, this devastating scene unfolds in Ventura County, near Camarillo, where a massive wildfire continues to rage.""",Sat Nov 10 14:56:07 +0000 2018,Camarillo,34.22069398,-119.0356883,injured_or_dead_people
27,"""Magalia, CA - Sat Nov 10 14:53:03 +0000 2018. The Paul Ryan Republicans refused to properly fund brush removal and other maintenance from 2010-2016 in Butte County. They froze spending and refused to allocate extra to clean up previous damage from Camp Fire.""",Sat Nov 10 14:53:03 +0000 2018,Magalia,39.81009208,-121.5785233,rescue_volunteering_or_donation_effort
28,"""Almost 7 minutes of what has been destroyed by the #CampFire as of Nov 20, 2018, in Chico, Butte County. If you help, please donate to the Red Cross. Thank you @kcranews for this view from Enloe Medical Center.""",Tue Nov 20 03:24:39 +0000 2018,Enloe Medical Center (Chico),39.75507764,-121.8471703,rescue_volunteering_or_donation_effort
29,"""Live at Camp Out for a Cause! Fire is ready and we are ready for some more donations to help Abraham's Tent this Holiday Season! (Posted 23:16 PST on November 20th, 2018 in Camarillo, Ventura County, CA)""",Tue Nov 20 23:16:23 +0000 2018,Camarillo,34.20325109,-119.0311896,rescue_volunteering_or_donation_effort
30,"""@GreenbaypackNFL #QBAaronRodgers donates $1 million to #CampFire victims from Enloe Medical Center in Chico, California on November 22, 2018.""",Thu Nov 22 14:36:43 +0000 2018,Enloe Medical Center (Chico),39.72999627,-121.8436264,rescue_volunteering_or_donation_effort
31,"Helpful as always, Trump blames forest management for wildfires that are killing people, burning homes, and displacing thousands in Ventura County, California, since November 8, 2018, with peak activity on November 10, 2018. #climate",Sat Nov 10 14:01:40 +0000 2018,Ventura,34.4475595,-119.08103,injured_or_dead_people
32,"""I urge anyone who can, go to Gofundme, and search for Camp Fire. There are 6512 campaigns active as of November 14th, 2018 at approximately 11:43 PM PST in the vicinity of Paradise, Magalia, Butte County, California. This was a small community that needs a lot if help due to the devastating wildfire that started on November 8th, 2018 and is still ongoing. Please help if you can #campfire #ParadiseFire""",Wed Nov 14 23:43:58 +0000 2018,Magalia,39.7990254,-121.5774058,rescue_volunteering_or_donation_effort
33,"""you can donate and help people out here who have been affected by the Camp Fire in Chico, Butte County; follow @ChicoER for updates if you need them. send aid, pizza, coffee, whatever to evacuation centers & shelters in the surrounding areas.""",Mon Nov 19 06:50:46 +0000 2018,Chico,39.72762603,-121.8364023,rescue_volunteering_or_donation_effort
34,"""@ArabelleRaphael The Camp Fire Relief Fund run by @NVCF is a legitimate charity. #Retweet4Good Green Packers quarterback Aaron Rodgers donated $1 million. (Donation made around 8:29 AM PST on November 22, 2018, in the Magalia area of Butte County, California)""",Thu Nov 22 13:29:10 +0000 2018,Magalia,39.81688365,-121.5982032,rescue_volunteering_or_donation_effort
35,"""#breaking Death toll in Camp Fire rises to 23 as coronerâ€™s teams search for remains; Last updated: Nov 11, 2018, 02:37 AM PST. Incident occurred in Paradise, Butte County, California.""",Sun Nov 11 02:37:39 +0000 2018,Butte,39.64038758,-121.5884212,injured_or_dead_people
36,"""RT @sidewalkangels: *hero* love her! Sandra Bullock donates $100K to save animals from wildfires in Butte County, near Enloe Medical Center in Chico, California on November 20th-22nd, 2018 (possibly during the Camp Fire).""",Tue Nov 20 02:07:13 +0000 2018,Enloe Medical Center (Chico),39.72648528,-121.8483997,rescue_volunteering_or_donation_effort
37,"""@terit007 @Ray_Rayisok @RealJamesWoods @Alyssa_Milano Really? Heres your presidents only tweet on the deaths and devastation. What a caring guy. Last seen near Butte County, California (approx. 37.8Â°N 121.9Â°W) at Silver Dollar Fairgrounds in Chico, where emergency services were deployed to assist fire evacuees. Recorded at 16:38 PST on November 10, 2018.""",Sat Nov 10 16:38:44 +0000 2018,Silver Dollar Fairgrounds (Chico),39.71864538,-121.8124616,injured_or_dead_people
38,"""Hundreds of #CampFire Evacuees Sickened With Norovirus at Silver Dollar Fairgrounds in Chico, Butte County, California. This incident was reported on November 9-17, 2018 timeframe, around the peak of the Camp Fire disaster.""",Sat Nov 17 06:17:44 +0000 2018,Silver Dollar Fairgrounds (Chico),39.71787371,-121.8231303,displaced_people_and_evacuations
39,"""I adopt at least one family every year for Christmas. This year I have adopted a very deserving Camp Fire family in Magalia, Butte County, California. I set them up with Walmart gift cards (WL) from Amazon GC's to themistressblondie@gmail.com to clear out their list. Put 'Camp Fire' in the gift note if you want to help! Tweeted on November 9th-24th, 2018, during the peak of the fire.""",Sat Nov 24 20:19:07 +0000 2018,Magalia,39.8070868,-121.5783345,rescue_volunteering_or_donation_effort
40,"""NEW #CampFire death toll: 81 Bed springs? a searcher wonders. Bathtub? Crews in Paradise are up against the clock to find high-priority search spots & signs of the unfound dead before a rainstorm washes them away forever. My latest, as of November 21st, 2018, 3:04 AM PST, from Chico, Butte County, California. via @azcentral""",Wed Nov 21 03:04:29 +0000 2018,Chico,39.74086701,-121.851994,injured_or_dead_people
41,"""@samhensonCA didn't know if you saw Aaron Rogers donated 1 Million dollars for victims of Camp Fire #AaronRodgers #charity #campfire #donate #love #ButteStrong. This update is from Magalia, Butte County, California, around 6:55 PM PST on November 21st, 2018, as the wildfire continued to spread.""",Wed Nov 21 18:55:59 +0000 2018,Magalia,39.80894472,-121.5817714,rescue_volunteering_or_donation_effort
42,"""The #CaliforniaFire, fueled by gusty winds, has become the state's deadliest wildfire in modern history, surpassing the 1933 Griffith Park blaze with a death toll of at least 29 as of November 13th, 2018. With numerous people still unaccounted for, authorities warn that the toll may rise further.""",Tue Nov 13 00:29:07 +0000 2018,Paradise,39.75717951,-121.6195021,injured_or_dead_people
43,"""RT @resistbot: The death toll has reached 25 as of November 11th, 2018 around 03:50 AM PST. 200,000 people have had to evacuate so far from Ventura County.""",Sun Nov 11 03:50:52 +0000 2018,Ventura,34.43654194,-119.0825791,injured_or_dead_people
44,"""Firefighter surveying damage in Paradise, a town in Butte County, California, was able to recover an American flag. This fire has killed more than 30 people with another 228 still unaccounted for as of November 13th, 2018.""",Tue Nov 13 16:24:44 +0000 2018,Vacaville,38.35785913,-121.9881252,injured_or_dead_people
45,"""Instead of complaining about the smoke affecting classes in Solano County on November 20-24, 2018, donate to the victims of the actual Camp Fire that ravaged Butte County, killing hundreds and making hundreds more homeless. The fire burned from November 8-25, 2018.""",Tue Nov 20 08:19:04 +0000 2018,Solano,38.22397697,-121.9307314,rescue_volunteering_or_donation_effort
46,"""RT @K_JeanPierre: Sadly, the #CaliforniaWildfires have now taken 48 lives as of November 14th, 2018. Numbers expected to rise. Last reported from the Silver Dollar Fairgrounds in Chico, Butte County, California.""",Wed Nov 14 15:19:00 +0000 2018,Silver Dollar Fairgrounds (Chico),39.71553993,-121.8178334,injured_or_dead_people
47,"""The Camp fire burned for 2 weeks (Nov 8 - Nov 18, 2018), killed at least 85 people, primarily in Paradise, California.""",Mon Nov 26 07:10:06 +0000 2018,Silver Dollar Fairgrounds (Chico),39.7158453,-121.8096673,injured_or_dead_people
48,"""The death toll is 48 from the #CaliforniaWildfires & will steadily grow as of November 14, 2018, at approximately 22:26:33 UTC. Check out my article for @CurbedSF on how older adults & disabled people are left behind & ways to help in Butte County, specifically at the Silver Dollar Fairgrounds in Chico, which is serving as a evacuation center & relief hub. #CampFire #CaliforniaFires #HillFire #WoolseyFire #FEMA #EmergencyPreparedness""",Wed Nov 14 22:26:33 +0000 2018,Silver Dollar Fairgrounds (Chico),39.7153632,-121.8320013,injured_or_dead_people
49,"""á½ª8á½ª8á½ª8á½ª8 EVACUATION LIFT UPDATE!! á½„7á¼¿Cá½„7á¼¿C (Malibu, CA) - 13th November 2018 04:54 PDT. The mandatory evacuation order for the Malibu area has been partially lifted. Residents are advised to return home but remain vigilant due to ongoing fire activity in nearby areas.""",Tue Nov 13 04:54:54 +0000 2018,Malibu,34.02991588,-118.6907371,displaced_people_and_evacuations
50,"""California wildfires: Survivors come forward as Camp Fire death toll rises to 56; occurred between Nov 8-15, 2018, with evacuations from Paradise to Silver Dollar Fairgrounds in Chico, Butte County.""",Thu Nov 15 14:42:27 +0000 2018,Silver Dollar Fairgrounds (Chico),39.70669466,-121.8084293,injured_or_dead_people
51,"""@SenatorIsakson @sendavidperdue @AustinScottGA08; 9 Americans are confirmed dead, more are missing, including several elderly, & many are trying to make their way to safety w/ babies & small children & YOUR POTUS is using this as a political tool. I WILL WORK TO UNSEAT YOU ALL. - Recorded at Pepperdine University in Malibu, Los Angeles County, California, on November 10th, 2018, around 7:56 AM PST.""",Sat Nov 10 13:56:22 +0000 2018,Pepperdine University (Malibu),34.03763736,-118.7249421,injured_or_dead_people
52,""".@realDonaldTrump has tweeted 7 times today about evidence-less allegations regarding vote counting, once attacking a retiring GOP senator and once about his asylum order. He has not tweeted about a 70K acre fire that has already killed 5 people in Butte County near Chico, CA (39.7283Â° N, -121.8281Â° W) as of November 10th between 6:00 AM and 8:26 AM PST.""",Sat Nov 10 06:26:43 +0000 2018,Silver Dollar Fairgrounds (Chico),39.72666753,-121.8068254,injured_or_dead_people
53,"""With 58+ deaths caused by Democrat forest mismanagement, far-left Jerry Brown takes more heat for vetoing the 2016 Wildfire Mitigation Bill. This devastating event occurred on November 8-14, 2018, specifically in Malibu, Los Angeles County, California, near Pepperdine University.""",Thu Nov 15 13:53:25 +0000 2018,Pepperdine University (Malibu),34.04291624,-118.7083274,injured_or_dead_people
54,"""#CampFire Friday update: Death Toll rises as of 16th Nov 2018, #evacuees face hardships in Magalia, Butte County. Last updated: Fri Nov 16 19:34:10 +0000 2018""",Fri Nov 16 19:34:10 +0000 2018,Magalia,39.82354852,-121.5820381,injured_or_dead_people
55,"""First thing he talks about is funding, and not the citizens who lost their lives, homes, etc. How comforting á½ C #campfire at Enloe Medical Center in Chico, CA, during the aftermath of the Camp Fire on November 10-12, 2018.""",Sat Nov 10 14:54:47 +0000 2018,Enloe Medical Center (Chico),39.75531736,-121.856691,rescue_volunteering_or_donation_effort
56,"""Devastating news is coming in from Ventura County, where multiple lives have been lost and homes destroyed due to the raging wildfire. As of Sat Nov 10 18:10:13 +0000 2018, firefighters are risking their lives everyday to help contain the blaze. Yet all we hear from officials is about federal funding and poor management practices. Please, let's focus on supporting those affected and not place blame. Thanks to first responders for their bravery and selflessness.""",Sat Nov 10 18:10:13 +0000 2018,Ventura,34.45267362,-119.0944113,injured_or_dead_people
57,"""The Camp Fires damage goes beyond what satellites can show (as observed from Enloe Medical Center in Chico, Butte County, California; Thu Nov 8 - Nov 22, 2018). #CampFire""",Thu Nov 22 14:04:54 +0000 2018,Enloe Medical Center (Chico),39.73356478,-121.8553434,infrastructure_and_utility_damage
58,"""How can you help the young people displaced by the #CampFire? By sending books, backpacks and/or by making gift card donations (Target, Kohls, Safeway, Shell, Subway, etc).  On November 8-24, 2018, specifically in Magalia, Butte County, CA, USA. Consider dropping off donations at local shelters or supporting organizations like the American Red Cross #kidlitforcampfire""",Sat Nov 24 21:58:49 +0000 2018,Magalia,39.81127862,-121.5748357,rescue_volunteering_or_donation_effort
59,"""71 people are confirmed dead and 1,000 still missing from the #CaliforniaFires in Butte County near Paradise, CA as of November 19, 2018, at approximately 04:07 AM PST. The Center for International Disaster Information says that sending money is the best way to help right now. Please donate anything that you can to one of these organizations:""",Mon Nov 19 04:07:56 +0000 2018,Chico,39.72803558,-121.8324073,injured_or_dead_people
60,"""#Campfire death toll climbs to 63; number of missing jumps to 631, as of November 16th, 2018, in Paradise, California, where a devastating wildfire continues to spread.""",Fri Nov 16 02:52:42 +0000 2018,Paradise,39.75956998,-121.6248307,injured_or_dead_people
61,"""RT @pitchfork: Alice Coltrane's ashram was destroyed in the Woolsey Fire near Pepperdine University, Malibu, CA. Started on Nov 8, 2018, and burned for several days, with the fire reportedly under control by Nov 13, 2018.""",Mon Nov 19 00:38:11 +0000 2018,Pepperdine University (Malibu),34.04477195,-118.7082611,infrastructure_and_utility_damage
62,"I wonder if President Trump knows that Paradise, CA is Trump country? Small community, 6,700 homes destroyed, over 200 businesses, much of the town wiped off the map. The people there need their government's help, not scolding (reportedly as of November 8-10, 2018).",Sat Nov 10 14:13:29 +0000 2018,Solano,38.22258403,-121.9227842,infrastructure_and_utility_damage
63,"""RT @charles_gaba: Jesus. And Orange County's Butte County area is being ravaged by a devastating wildfire while Governor Brown cowers in a hotel from a light drizzle, blaming the Camp Fire victims for their own deaths on November 8-11, 2018.""",Sun Nov 11 03:21:11 +0000 2018,Chico,39.73976391,-121.8397009,injured_or_dead_people
64,"""29 people dead, almost 15,000 structures destroyed in 111,000-acre Camp Fire as of November 12th, with the fire still active in Chico, California. Fanned by strong winds, it has been spreading rapidly since its origin on November 8th in the Butte County area near Paradise. The inferno is now contained within a perimeter spanning across parts of Plumas and Lassen National Forests.""",Mon Nov 12 05:22:41 +0000 2018,Chico,39.73988079,-121.855519,injured_or_dead_people
65,"""@CampFamilies .#CampFireEvacueeDonations á½”AFree á¼·DThanksgiving dinner for evacuees is being hosted at several locations in Chico, CA (Butte County), near Paradise, on Wednesday, November 21st, 2018, in the evening. #CampFire #ParadiseStrong #CaliforniaWildfires""",Tue Nov 20 02:58:44 +0000 2018,Magalia,39.80488174,-121.5946661,displaced_people_and_evacuations
66,"""42 people dead. But donâ€™t you just love it when someone laughs or shits on it because a celebrity lost their home in this mess too? So funny, right? What a knee slapper to act so above it all. Time posted: Tue Nov 13 17:07:36 UTC 2018. Approximate location: Paradise, Butte County, California, likely referring to the Camp Fire which was ravaging the area at that time.""",Tue Nov 13 17:07:36 +0000 2018,Paradise,39.76423309,-121.6051796,injured_or_dead_people
67,"""Los Angeles, CA - Multiple people are dead in a devastating wildfire that has ravaged the area, including nearby Ventura County. This incident occurred on Sat Nov 10 2018 between 08:00-09:00 AM PST, with possible progression of the fire around this time.""",Sat Nov 10 08:25:54 +0000 2018,Los Angeles,34.32604239,-118.1936799,injured_or_dead_people
68,"""CAMP FIRE: 14 additional bodies located, death toll rises to 23; Update as of November 11th, 2018, 02:22 AM PST in Butte County, California.""",Sun Nov 11 02:22:57 +0000 2018,Butte,39.64493213,-121.5902836,injured_or_dead_people
69,"""RT @hardknoxfirst: Do you recognize any of these lost pets displaced by #CampFire, which started on November 8, 2018, in Butte County? - SFGate #SmartNews #ParadiseFire cc â¦@heywhoâ© / From Paradise, California, USA, near the Chico area.""",Mon Nov 12 22:43:31 +0000 2018,Butte,39.64911704,-121.5968564,displaced_people_and_evacuations
70,"""#campfire How evacuees can get their medications, mail and more (as of Nov 11, 2018, 7:22 PM PST) at Silver Dollar Fairgrounds, located in Chico, Butte County, California. Coordinates: 39.7283Â° N, 121.8531Â° W""",Sun Nov 11 19:22:38 +0000 2018,Silver Dollar Fairgrounds (Chico),39.71383347,-121.803368,displaced_people_and_evacuations
71,"""RT @kron4news: WATCH: Newly released video shows dramatic rescue during #WoolseyFire on Wednesday, November 21st, 2018 in Agoura Hills, California at approximately 11pm PST, as the wildfire raged through Los Angeles County.""",Wed Nov 21 00:06:15 +0000 2018,Agoura Hills,34.16046741,-118.7587863,rescue_volunteering_or_donation_effort
72,"""RT @Bravotv: #RHONYs @Bethenny is getting her B Strong team organized to help humans and animals affected by the devastating Camp Fire in Butte County, California, a massive wildfire that has already burned over 150,000 acres as of November 21st, 2018, with evacuations ongoing in Paradise, California.""",Wed Nov 21 13:30:09 +0000 2018,Camarillo,34.21745583,-119.0266634,rescue_volunteering_or_donation_effort
73,"""Magalia, CA - Dec 3, 2018, 05:02 PST (early morning) You can blame most of those deaths on the government that would rather protect trees than lives! This tweet was posted as the Camp Fire was spreading rapidly in Butte County, California.""",Mon Dec 03 05:02:31 +0000 2018,Magalia,39.8203825,-121.5713172,injured_or_dead_people
74,"DISASTER RECOVERY CENTER: Camp Fire Disaster Recovery Center (formerly Local Assistance Center) is located at the Chico Mall (former Sears Building) - 1982 E. 20th Street, Chico, CA 95928. The Center will be open daily from 9:00 a.m. to 7:00 p.m., effective November 19th through ongoing assessment and relief efforts in Butte County, California.",Mon Nov 19 17:22:50 +0000 2018,Magalia,39.80731293,-121.5933617,rescue_volunteering_or_donation_effort
75,"""Convoy of Hope - everything is distributed much quicker than donations to Red Cross in Los Angeles County, CA as of Thu Nov 15 00:12:28 +0000 (UTC) during the ongoing 2018 California Wildfires.""",Thu Nov 15 00:12:28 +0000 2018,Los Angeles,34.31146243,-118.196314,rescue_volunteering_or_donation_effort
76,"""Wow! @SammyMarkle64 is organizing a charity to help people affected by fire in California (specifically Paradise) as of November 8-22, 2018. She is helping the disabled in hospital with Turkeys for Thanksgiving, but it's not related to her charity efforts. She is gathering toys for tots in the aftermath of the disaster and amidst the chaos of relief operations, she somehow found time to criticize Meghan on Twitter again.""",Thu Nov 22 01:01:50 +0000 2018,Paradise,39.7621569,-121.621513,rescue_volunteering_or_donation_effort
77,""".@marialaganga writes about a truly heroic effort to get 91 nursing home patients in Paradise to safety, as the Camp Fire rages on in Butte County, near Magalia. The final image in the kicker is haunting.""",Sun Nov 18 13:15:25 +0000 2018,Magalia,39.82203307,-121.5842359,rescue_volunteering_or_donation_effort
78,"""3 more bodies found as firefighters contain Camp Fire in Butte County, California; death toll rises to 85 on November 25, 16:44 UTC.""",Sun Nov 25 16:44:06 +0000 2018,Butte,39.64622203,-121.6003502,injured_or_dead_people
79,"""RT @MikeIsaac: the death toll is now up to at least 25 in Ventura County as of November 11, 2018, approximately 2:59 AM PST.""",Sun Nov 11 02:59:28 +0000 2018,Ventura,34.43981299,-119.0650542,injured_or_dead_people
80,"""Camp Fire death toll increases to 77; Survivors living in tents being moved to safer shelter at Paradise, California (Butte County) as of November 19th, 08:59am PST.""",Mon Nov 19 08:59:15 +0000 2018,Paradise,39.75087599,-121.6244093,injured_or_dead_people
81,"""@KamalaHarris How much have you donated to Camp Fire victims fund? You're in Chico, CA (Enloe Medical Center) on Nov 19th, 2018, as we are still battling the devastating wildfire. Please share your support.""",Mon Nov 19 22:52:28 +0000 2018,Enloe Medical Center (Chico),39.75017326,-121.8497674,rescue_volunteering_or_donation_effort
82,"""And evacuees are living in their cars, as of November 18th around 5:09 AM PST, in Solano County, California.""",Sun Nov 18 05:09:37 +0000 2018,Solano,38.23744614,-121.9065848,displaced_people_and_evacuations
83,"*Far Northern Regional Center is Seeking Help* The Camp Fire is responsible for devastating loss for clients, families, regional center staff, and service provider staff in the Far Northern Regional Center (Paradise, Butte County), located approximately 1 mile northeast of Chico, California. The fire began on November 8, 2018, and was still burning as of this tweet sent at 11:18 PM PST on Tuesday, November 20, 2018.",Tue Nov 20 23:18:36 +0000 2018,Chico,39.71887582,-121.8479972,rescue_volunteering_or_donation_effort
84,"""RT @danielleiat: oof. probably best not to talk about how fires that have killed hundreds of people are improving your view; specifically, the Woolsey Fire in Los Angeles County, California, which has ravaged areas around Malibu and Thousand Oaks since Nov 8, 2018, and was still burning near Calabasas on Nov 21.""",Wed Nov 21 05:53:09 +0000 2018,Los Angeles,34.30241534,-118.1979282,injured_or_dead_people
85,"""I live here in Butte County. I know how to help. Stop wasting money on illegals and bullet trains and spend more money on firefighters. It's not complicated.""",Sun Nov 18 20:10:03 +0000 2018,Butte,39.65830677,-121.5916879,rescue_volunteering_or_donation_effort
86,"What an amazing opportunity and incredible action. Be on the lookout soon for our version of this #ResilienceIPA Thanks to @SierraNevada for their continued support to this relief effort from the Silver Dollar Fairgrounds in Chico, Butte County, California (39.7667Â° N, 121.8853Â° W), Wednesday November 21st, 2018, at approximately 1:20 PM PST.",Wed Nov 21 16:20:50 +0000 2018,Silver Dollar Fairgrounds (Chico),39.73295309,-121.8172511,rescue_volunteering_or_donation_effort
